symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
btc,Bitcoin,19494.84,374289077997,1,409756957292,23662114103.0,19614.89,19161.27,308.06,1.6056,6265731562.0,1.7025,19182275.0,21000000.0,21000000.0,69045.0,-71.74,2021-11-10 14:24:11.849000 UTC,67.81,28672.21,2013-07-06 00:00:00.000000 UTC,2022-10-18 03:05:15.010000 UTC
eth,Ethereum,1328.6,160333583155,2,,8698392798.0,1339.17,1297.64,30.41,2.3422,3756936513.0,2.3994,120527154.75,120527154.746356,,4878.26,-72.72,2021-11-10 14:24:19.604000 UTC,0.43,307210.85,2015-10-20 00:00:00.000000 UTC,2022-10-18 03:05:06.300000 UTC
usdt,Tether,1.0,68488007086,3,,30216495050.0,1.0,1.0,0.0,0.1359,97911682.0,0.1432,68442559804.79,68442559804.7881,,1.32,-24.37,2018-07-24 00:00:00.000000 UTC,0.57,74.78,2015-03-02 00:00:00.000000 UTC,2022-10-18 03:02:00.181000 UTC
bnb,BNB,274.46,44807811887,4,45312700938,44544105.0,275.93,270.23,3.04,1.1202,489260167.0,1.104,163276974.63,163276974.63,165116760.0,686.31,-60.01,2021-05-10 07:24:17.097000 UTC,0.04,689132.04,2017-10-19 00:00:00.000000 UTC,2022-10-18 03:05:25.807000 UTC
usdc,USD Coin,1.0,44771407607,5,,3165227497.0,1.0,1.0,0.0,0.1643,-195118363.19,-0.4339,44753448297.7,44753313027.8363,,1.17,-14.69,2019-05-08 00:40:28.300000 UTC,0.89,12.17,2021-05-19 13:14:05.611000 UTC,2022-10-18 03:04:18.217000 UTC
xrp,XRP,0.47,23700305744,6,47507964561,1410276442.0,0.48,0.46,0.01,1.8229,383075788.0,1.6429,49887015710.0,99989258607.0,100000000000.0,3.4,-86.02,2018-01-07 00:00:00.000000 UTC,0.0,17582.29,2014-05-22 00:00:00.000000 UTC,2022-10-18 03:05:39.205000 UTC
busd,Binance USD,1.0,21312086868,7,,6877962681.0,1.0,1.0,0.0,0.066,31965335.0,0.1502,21310208702.81,21310208702.81,,1.15,-13.35,2020-03-13 02:35:42.953000 UTC,0.9,10.98,2021-05-19 13:04:37.445000 UTC,2022-10-18 03:04:42.656000 UTC
ada,Cardano,0.37,12474526668,8,16598147319,340829168.0,0.37,0.37,0.0,0.1881,38944246.0,0.3132,33820262543.95,45000000000.0,45000000000.0,3.09,-88.05,2021-09-02 06:00:10.474000 UTC,0.02,1815.82,2020-03-13 02:22:55.044000 UTC,2022-10-18 03:06:05.038000 UTC
sol,Solana,30.93,11084892421,9,,643686318.0,31.44,29.93,0.99,3.3005,368304665.0,3.4368,357983554.6,508180963.57,,259.96,-88.09,2021-11-06 21:54:35.825000 UTC,0.5,6083.06,2020-05-11 19:35:23.449000 UTC,2022-10-18 03:06:07.057000 UTC
doge,Dogecoin,0.06,8130654927,10,,175705100.0,0.06,0.06,0.0,1.447,127245976.0,1.5899,136526406383.71,,,0.73,-91.86,2021-05-08 05:08:23.458000 UTC,0.0,68431.14,2015-05-06 00:00:00.000000 UTC,2022-10-18 03:05:02.599000 UTC
dot,Polkadot,6.21,7223958116,11,,182893449.0,6.28,6.13,0.08,1.2644,100364074.0,1.4089,1162051620.46,1242999972.99454,,54.98,-88.69,2021-11-04 14:10:09.301000 UTC,2.7,130.47,2020-08-20 05:48:11.359000 UTC,2022-10-18 03:05:15.589000 UTC
matic,Polygon,0.86,6384683074,12,8579834474,364757024.0,0.87,0.8,0.06,7.0966,419459110.0,7.0317,7441499126.62,10000000000.0,10000000000.0,2.92,-70.58,2021-12-27 02:08:34.307000 UTC,0.0,27191.61,2019-05-10 00:00:00.000000 UTC,2022-10-18 03:04:26.928000 UTC
shib,Shiba Inu,0.0,6104838360,13,,112598247.0,0.0,0.0,0.0,1.0652,69602309.0,1.1533,589373023552323.0,999991089484642.0,,0.0,-87.98,2021-10-28 03:54:55.568000 UTC,0.0,18376622.61,2020-11-28 11:26:25.838000 UTC,2022-10-18 03:05:10.999000 UTC
dai,Dai,1.0,6000855719,14,6000855719,328146783.0,1.0,1.0,0.0,0.0919,-14550442.83,-0.2419,6001359359.08,6001359359.08148,6001359359.08148,1.22,-17.97,2020-03-13 03:02:50.373000 UTC,0.9,10.7,2019-11-25 00:04:18.137000 UTC,2022-10-18 03:02:03.190000 UTC
